"service_recordid","service_name","service_alternate_name","service_organization","service_description","service_locations","service_url","service_email","service_status","access_requirement","service_taxonomy","service_application_process","service_wait_time","service_fees","service_accreditations","service_licenses","service_phones","service_schedule","service_contacts","service_details","service_address","service_metadata","service_program","service_code","SDOH_code","code_category_ids","procedure_grouping","service_tag","service_airs_taxonomy_x","flag","bookmark","service_language","service_interpretation","eligibility_description","minimum_age","maximum_age","service_alert"
"1113342189645613","Recovery Support Services","","1148831835061989","Recovery Support Management assists clients with the implementation of the recovery support plan.","1214902198182923,1060230665027262","http://hillcrest-dc.org/services/adult-services/","info@hillcrest-dc.org","1","none","893915418546777,874406320909098","Call or walk-in for services.","","","","","<a href=""tel:(202) 232-6100"">(202) 232-6100</a>","","","","886665393820928,641281670998932","","","","","","","","","","","","","","","",""
"1060415349793008","Making Tracks Academic Enrichment Summer Program","","779339057787762","ACSGW recognizes that youth from low-income families may not always receive healthy, nutritious meals, and consistently score at the lower percentiles on academic tests. Youth deserve access to quality academic and vocational programs, and life-skill training to assist them in their journey towards adulthood. Our mission is to help the disadvantaged and disenfranchised in the community to attain self-sufficiency and independence, and deliver programs that serve youth and their families in the Silver Spring, Takoma Park, and other East Montgomery communities. Making Tracks Academic Enrichment Program is a nationally recognized Montgomery County summer program conducted by Adventist Community Services of Greater Washington (ACSGW) and its community partners. It is our signature program that complements other ACSGW youth development and education programs that occur throughout the year. The 6- to 7-week camp provides elementary-grade participants in East Montgomery County with a safe and positive environment to engage in vital academic instruction, hands-on visual and performing arts classes, a wide range of fitness and recreational activities, and essential life-skills training. Participants receive daily breakfast, lunch meals, and take-home weekend food packages (Smart Sacks). On any given Friday we hand out food to make 1000 meals. Over 450 elementary-age students have been served to date in East Montgomery County at elementary school sites. Our principal partner, Montgomery County Recreation Department, coordinates the registration and selection of eligible participants for the summer camp.","1117118492901641","https://www.acsgw.org/youth.html","Shirley@acsgw.org","1","none","893915418546777,1078085049466319","Call for more information on this summer program.","","","","","<a href=""tel:(301) 585-6556"">(301) 585-6556</a>","1224864827208470","898773495903441","","1105400030033279","","","","","","","","","","","","","","","",""
"1066050285123106","Methadone Treatment Center","","","","","","","","none","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1074220347849802","Operation Backpack","","1280943812182660","Remember going back to school as a child with all your new supplies & backpack, maybe even your Trapper Keeper! That excitement is what children all over Washington D.C. will be experiencing in just a few weeks, but some are not ready and need our help. Parents often cannot afford to purchase the supplies when forced to choose between new shoes for school or a new backpack. Operation Backpack is Central Union Mission’s program designed to help low-income families have the needed supplies.","893134611210108","https://www.missiondc.org/what-we-do/family-programs/school-readiness-program/","","1","none","1211420433536032,982549491856586","Call to inquire about receiving a backpack. Go online for donation guidelines.","","","","","<a href=""tel:(202) 745-7118"">(202) 745-7118</a>","542958080918883","","","774296813552596","","","","","","","","","","","","","","","",""
"1085691019894863","WIC Clinics","","1284952943863665","WIC is the Special Supplemental Nutrition Program for Women, Infants, and Children. WIC is a federally-funded health and nutrition program that helps families by providing nutrition education, healthy supplemental foods, and making referrals to healthcare and community services.","1255140834443689,945974432326654,1229706459709655,780622753430249","https://www.unityhealthcare.org/services/wic-program","wic@unityhealthcare.org","1","none","630013980013392","Call for more information. What to bring to your WIC appointment: Proof of DC residency Proof of income Proof of pregnancy (i.e., letter from your doctor) Proof of identity (i.e., picture ID, driver's license) Baby or child & his/her birth certificate or hospital discharge papers Prescription for special formula or supplement, if applicable You do not have to show proof of U.S. citizenship to receive WIC.","","","","","<a href=""tel:(202) 469-4699"">(202) 469-4699</a>","","","","1284995921697963,932050155937690,672688689633830,600813147654170","","","","","","","","","","","","","","","",""
"1089668903464175","Mickey Leland House","","765268136875870","Mickey Leland is a transitional housing program that can serve up to 22 men. The men are provided assistance with obtaining employment and permanent housing, and other help that prepares them for activities of daily living and self-sufficiency.","987681737906027","http://www.dccfh.org/programs/transitional-housing/mickey-leland-house/","","1","none","1305774265925553,937614928620819,629380122005095,989050742720214","Call to inquire about openings and eligibility.","","","","","<a href=""tel:(202) 588-1375"">(202) 588-1375</a>","1092472091063330","","","864132208245056","","","","","","","","","","","","","","","",""
"1108270050321045","Language Services - Ayuda","","1001381268835594","At Ayuda, we work to make sure that everyone can get help when they need it, regardless of the languages that they use to communicate. We partner with and work for a wide array of clients, non-profit organizations, legal and social professionals, and more. Use one of the links below to learn about our language access services, our partnerships, and our opportunities.","1170496916271417,648965877017429,1171401871170354,573970502850349","https://ayuda.com/what-we-do/language-services/","interpreterbank@ayuda.com","3","none","841905613386238,893915418546777,885604845315230,758960875077789","Email for information on interpretation services. You can also raise this need during intake.","","","","","<a href=""tel:(202) 387-4848"">(202) 387-4848</a>","1323454328809962,984651245152732,1331086012374481","","","1161089217309530,636370606993834,1161047433910831,1302050715895903","","","","","","","","","","","","","","","",""
"1115176306329373","WASHINGTON METROPOLITAN AREA TRANSIT AUTHORITY: METRO SENIOR/DISABLED ID CARD SERVICES","","885909108792595","Offers reduced fares to seniors and people with disabilities who have a valid Metro Senior ID card, Metro Disabled ID card or a valid Medicare card with photo identification.","1286290424953168","http://wmata.com","","","none","","","","","","","","","","","1064859800913984","","","","","","","","","","","","","","","",""
"1114942083297484","Public Benefits/Income Maintenance/Health Law","","917755116346392","We will consider handling the following types of cases for clients that meet our income guidelines: Denial of benefits Termination of benefits Claims that you were overpaid NLSP can help clients obtain and preserve the following public benefits: TANF Food Stamps (SNAP) Unemployment Supplemental Security Income (SSI) Social Security Disability Insurance (SSDI) Medicaid Medicare Other health care benefits Veterans benefits If you believe you have been wrongfully denied access to income supports or health benefits please contact us. If we cannot assist you, we will help find an organization that can.","819741028296646,826158382123021,759833313909140","http://www.nlsp.org/services/public-benefits-income-maintenance-health-law","","1","none","841905613386238,1323975618617949,1238748896910244,608267763327487","Call or walk in during intake hours for an intake. Income eligibility guidelines (http://www.nlsp.org/eligibility) may be flexible on a case by case basis.","","","","","<a href=""tel:(202) 832-6577"">(202) 832-6577</a>","578413778188343,949146033103041","","","658580381720705,1020202703802817,919731849360133","","","","","","","","","","","","","","","",""
"1113729883287074","Legal Services","","1001381268835594","Almost half of all immigrants seeking assistance have a valid legal claim or available legal avenue to obtain legal status in the US. However, immigration laws and related legal proceedings are complex. To make a legal right a reality, low-income immigrants need help to successfully access and navigate our justice system. We provide expert legal services so that low-income immigrants can overcome barriers and access justice. Unaware of their rights and overwhelmed by a complex legal bureaucracy and language barriers, many immigrants require the aid of a professional to navigate the U.S. immigration system. Ayuda’s staff attorneys and pro bono program serve more than 3,000 women, men, and children every year by helping them obtain visas, work authorization, legal status, and more. Immigration services: Family-based immigration applications Removal defense Asylum Special Immigrant Juvenile Status (SIJS) Humanitarian applications (victims of crime, domestic violence, human trafficking) Violence Against Women Act petitions Adjustments of status to permanent residence, naturalization (citizenship), Temporary Protected Status, work authorization, and Deferred Action for Childhood Arrivals (DACA). Domestic Violence and Family Law: Civil Protection Orders Custody, Divorce and related matters Civil Contempt Child Support Project End: If you have tried to get help from the wrong in people in the past, we can help. Project END (Eradicating Notario Deceit) is a direct legal services project aimed at remedying the harm caused by notario or immigration consultant fraud. Project END provides advice, counsel, and representation to victims in civil, criminal, and immigration proceedings. A notario, notario público, or immigration consultant in the U.S. is not an attorney nor an accredited representative of the Department of Justice in the U.S., and consequently, is not licensed to provide paid immigration legal advice or legal services. Unscrupulous notarios or consultants routinely prey on immigrants who, because of linguistic, cultural, and financial obstacles, believe a notario or consultant can assist them with their legal issues. The fraudulent work of notarios or immigration consultants can have life-devastating consequences on its victims, including financial ruin, damage to a legal case, deportation, and permanent family separation.","648965877017429,1171401871170354,573970502850349","https://ayuda.com/what-we-do/legal-services/","","1","none","841905613386238,1220495166628256","Call for services","","","","","","","","","636370606993834,1161047433910831,1302050715895903","","","","","","","","","","","","","","","",""
"1117943724533651","Bereavement","","1253396496217869","The Bereavement Ministry offers emotional, spiritual, and physical support to church members and regular attendees who are grieving the loss of a loved one. This ministry may also organize groups to assist with special needs during funeral and bereavement periods.","978435202763698","http://www.covenantdc.org/bereavement","","1","none","893915418546777","","","","","","<a href=""tel:(202) 562-5576"">(202) 562-5576</a>","","","","790302097009149","","","","","","","","","","","","","","","",""
"1118941099925179","Youth Substance Abuse Prevention","","1148831835061989","Assessments and basic education activities to delay the onset of experimentation with drugs and alcohol","1214902198182923,1060230665027262","http://hillcrest-dc.org/services/children-services/","info@hillcrest-dc.org","1","none","1276982655382389,1091485627676359","Call or walk-in for services.","","","","","<a href=""tel:(202) 232-6100"">(202) 232-6100</a>","","","","886665393820928,641281670998932","","","","","","","","","","","","","","","",""
"1122934207742346","DASH Housing Toolkit","","1234827091202817","If you are a survivor of domestic violence facing homelessness as a result of the violence, this toolkit [PDF] is designed to heighten your awareness of housing protections afforded to you. This toolkit tells you: What to do if you want to stay where you are What to do if you want to leave your home What to do if you need to find safe housing Who can help you","1048770784971224","https://www.dashdc.org/housing-resource-center/dash-housing-toolkit/","","1","none","841905613386238,1305774265925553,625144853335827","Visit our website to download the toolkit. If you are in an emergency, contact National Domestic Violence Hotline: 1-800-799-7233 (SAFE) or 1-800-787-3224 (TTY).","","","","","<a href=""tel:(202) 462-3274"">(202) 462-3274</a>","1196041280360314","","","637680055653175","","","","","","","","","","","","","","","",""
"1125189538542481","Feeding & Nutrition","","1151840654132771","Our goal is to make sure your child gets the right type and amount of food for good growth and development. We will provide you with a feeding care plan specially designed for your child.","569762980024499","https://hschealth.org/medical-programs-therapy/services-programs/full-list","","1","none","893915418546777,1091485627676359","Call for more information and to make an appointment.","","","","","<a href=""tel:(202) 832-4400"">(202) 832-4400</a>","","","","758202120336301","","","","","","","","","","","","","","","",""
"1122591520560722","Rapid Re-housing Progam (RRH)","","650479626662564","The Rapid Re-Housing Program (RRH) serves homeless children and their parents in Montgomery County, Maryland, who have low to moderate barriers to obtaining and maintaining permanent housing. NCCF staff assists families with locating traditional permanent housing units, where leases are in the participant’s name, and also provides short term rental subsidies based on family income. Annually, the Rapid Re-housing program serves an average of 55 children and their parents. The RRH case management team helps families identify and overcome the barriers that led to them becoming homeless, and identifies strategies to avoid recidivism. NCCF volunteers provide families with holiday parties and gifts, Thanksgiving baskets, household and kitchen items, access to community activities, furniture, food, and clothing. Participants are offered six months of aftercare services, including monthly contact with their case manager and linkages to community resources as needed.","","https://www.nccf-cares.org/family-services/","dkanneh@nccf-cares.org","1","none","1305774265925553,629380122005095","Call or email for more information.","","","","","<a href=""tel:(240) 242-4173"">(240) 242-4173</a>","","908064822753039","","","","","","","","","","","","","","","","","",""
"1128946483277238","COMMUNITY COUNCIL FOR THE HOMELESS AT FRIENDSHIP PLACE","","859831189737185","Provides street outreach, addiction counseling, referrals, a medical clinic, psychiatric care and case management services all aimed at giving the homeless men and women in Northwest Washington assistance in rebuilding their lives by addressing their basic needs.","1260258325512587","http://cchfp.org/","","","none","","","","","","","","","","","1214088150223601","","","","","","","","","","","","","","","",""
"1071954080796084","Chloe's House","","1222701888984669","Chloe House is a group home for teenage girls referred by the DC Department of Youth Rehabilitation Services. It offers residential care, counseling, and life skills development activities including educational and employment opportunities. Chloe House was named for Tabara Chloe, a former participant of several Sasha Bruce Youthwork programs who established a life-long relationship with the organization.","1289696854137570","https://www.sashabruce.org/programs/safehomes/chloe-house/","jmurray@sashabruce.org","1","none","1305774265925553,893915418546777,745675631776034,646077810643985","Call or email to access this program.","","","","","<a href=""tel:(202) 675-9380"">(202) 675-9380</a>","635503777733530","","","976930795946091","","","","","","","","","","","","","","","",""
"1096380712709757","SAMARITAN INNS: INTENSIVE RECOVERY PROGRAM","","680226054600238","Offers 3 phases of treatment for homelessness and addiction.","1163405927375948","http://samaritaninns.org/","","","none","","","","Service Fees:","","","","1338861885603952,1338861885603953,1338861885603954,1338861885603955,1338861885603956,1338861885603957,1338861885603958","","","1033661751080808","","","","","","","","","","","","","","","",""
"1095621090051578","Mood Disorders Program","","1121342754860910","It’s normal for children to feel sad, irritable or upset at times. Unfortunately, that can lead to depression and other mood disorders being misdiagnosed or dismissed as a typical part of childhood, especially in teens. Mood disorders can have wide-ranging effects on children, teens and their families. The toll on their physical health, performance in school, family and social relationships and overall well-being can be devastating. Helping Children and Teens with Mood Disorders The Mood Disorders Program at Children’s National Health System is dedicated to helping children and teens with mood disorders live as happily and healthfully as possible. We personalize care for each patient and family to ensure children receive the most appropriate treatment with the best outcomes. Features of our program include: Expert pediatric specialists. When a child or teen’s negative feelings don’t go away, our highly trained pediatric specialists have the expertise and experience to recognize mood disorders and provide the care they need. That includes pediatricians, counselors, social workers, psychiatrists and others. Family-centered care. Our multi-specialty team knows that you know your child best. We value your input and work closely with your family to include you as a part of your child’s care team. This ensures he or she receives the most comprehensive and individualized care. Ongoing support and education. We strive to empower preteens and their families diagnosed with mild to moderate depression to learn about the disorder that is impacting their lives. Group sessions that include art therapy and other tools help you work together toward recovery and wellness. Finding new ways to help. Learning more about the factors that can lead to depression and other mood disorders in school-age children can improve their treatments and outcomes. Our researchers are committed to discovering new ways to identify, prevent and treat these disorders. Some of our patients participate in clinical trials. You can find out more by speaking with your child’s doctor, nurse, or other care team member. Conditions We Treat At Children’s National, we treat a wide range of mood disorders, including: Major depression. A serious condition that involves persistent sadness, hopelessness and other symptoms Bipolar disorder. A type of depression that also includes severe mood changes to extreme elation and happiness Dysthymic disorder. Depression that is less severe but more long-lasting than major depression Anxiety disorder. Excessive worry that doesn’t get better and can interfere with daily activities Children and teens with mood disorders may have: Difficult relationships with family and friends Trouble sleeping Changes in eating patterns or weight Extreme temper outbursts Low energy Poor concentration Aggressive behaviors Mood disorders can cause other symptoms as well. Parents are in a unique position to see behavior changes and problems in their children. We take your concerns seriously and listen carefully to your observations. Services We Offer We start with a thorough evaluation, which can last two sessions or more, depending on your needs. Your pediatric specialist will talk with you about your child’s symptoms, your family health history and any other psychological concerns you may have. To give us more details about your child’s condition, we may ask your family to fill out forms known as objective scales. In some cases, teachers are also asked to complete these scales. With an accurate diagnosis, we design a specific plan to provide the best care for each child. Follow-up care may involve: Individual therapy Family therapy Medication, when necessary We want you to be confident in your child’s care. To that end, we also provide second opinion evaluations and consultations.","908942274584388","https://childrensnational.org/departments/mood-disorders-program","","1","none","1276982655382389,1091485627676359","We see children and teenagers from the Washington, D.C., metropolitan region and across the nation. To make an appointment for a child, call 202-476-5166. To make an appointment for an adolescent, call 202-476-3867.","","","","","<a href=""tel:(202) 476-5166"">(202) 476-5166</a>","683742989703803","","","1069203720699078","","","","","","","","","","","","","","","",""
"1096873514597287","Evening Program","","1093139785713640","Thrive DC’s Evening Program offers a safe, peer supported environment for women and children. Since 1979 we have always reserved dinner for women and their dependents, as they often face the greatest challenges in the face of homelessness and poverty. During the Evening Program, we offer dinner, showers, laundry, emergency groceries, enrichment and therapeutic activities, and a safe place. Evening Schedule Each evening we serve 20 – 40 women and their dependents. The schedule is as follows: 2:00 PM – Program opens, clients & volunteers arrive. 3:00 PM – Meal is served and groups meet for arts, fitness, other group activities. 4:00 PM – Program is over and the floor is closed. The office remains open until 5:00 PM.","1160291369304648","https://www.thrivedc.org/programs/dinner/","","1","none","630013980013392,893915418546777,629380122005095,1091485627676359,646077810643985","If you need assistance, please call one of our case managers at (202) 737-9311.Case Management at Thrive DC You can also come directly to our offices: Monday – Friday 8:30 AM – 2:00 PM (Men & Women) 2:00 PM – 4:00 PM (Women Only) 1525 Newton St. NW Washington, DC 20010 We are located on the bottom level of St. Stephen and the Incarnation Episcopal Church. No appointment necessary, just come in and ask for one of our case managers.","","","","","<a href=""tel:(202) 737-9311"">(202) 737-9311</a>","1153200317080474","","","980902256958058","","","","","","","","","","","","","","","",""
"1099208107604478","Psychoeducational Group Intervention","","880448544501253","La Clínica operates a counseling program called Mi Familia, which works to reduce the negative impact of traumatic stress and to improve overall stability within the family unit. In this 14 week-long program, families receive individual and family counseling treatment while attending weekly psycho-educational group interventions. Program participants learn about effective communication and stress management strategies while emphasizing abuse and trauma prevention. In 2010, the program was awarded the National Council of La Raza’s Strengthening Families Award.","1116757915659329","https://lcdp.org/_en/programs-mental-health.html","","1","none","1276982655382389,885604845315230","Call or walk in to begin patient registration.","","","","","<a href=""tel:(202) 319-3414"">(202) 319-3414</a>","984651245152732,1331086012374481","","","677738893504468","","","","","","","","","","","","","","","",""
"1108750269140523","David M. Booth Disability Rights Initiative","","1126515358200105","Our disability rights advocacy targets the District’s shelter and housing programs to assure that they are physically and programmatically accessible to people with disabilities.","825613990987555","https://www.legalclinic.org/about/","info@legalclinic.org","","none","841905613386238,779743205099707","Call for assistance.","","","","","<a href=""tel:(202) 328-5500"">(202) 328-5500</a>","1338861885602256,1338861885602257,1338861885602258,1338861885602259,1338861885602260,1338861885602261,1338861885602262,1338861885602263","","","632887211171682","","","","","","","","","","","","","","","",""
"1107517105201722","La Casa","","859831189737185","La Casa is a 40-unit Permanent Supportive Housing (PSH) building for previously chronically homeless males located in the Columbia Heights neighborhood of Washington, DC. The program’s highly vulnerable residents receive comprehensive on-site case management, supportive services, and 24 hour staffing. Services at La Casa are tailored to the unique needs of each participant. La Casa’s approach is based on the principles of Housing First, an evidence-based housing model that considers housing the first priority—especially for those who are also facing other barriers. This model emphasizes stabilizing housing immediately, so that other needs can be successfully met. Friendship Place case managers at La Casa meet regularly with residents to assess their needs. Individuals in the program have an active voice in their individualized service plans. We empower participants to connect with their needs, while supporting and guiding them through the process of rebuilding their lives. La Casa is locally funded by the District of Columbia’s Department of Human Services and operated by Friendship Place. The 40-individual unit complex currently operates at 100 percent capacity, housing 40 individuals.","1260258325512587","https://friendshipplace.org/programs-outreach/la-casa/","","1","none","1305774265925553,989050742720214","You must be referred directly from the Department of Human Services (DHS), through DC’s Coordinated Entry System. Tuesday is by appointment only.","","","","","<a href=""tel:(202) 364-1419"">(202) 364-1419</a>","1155445837483426,1161146557284538,769449908411381,1061969708258974","","1181299107910401","1214088150223601","","","","","","","","","","","","","","","",""
"1117231582416420","Youth Connect","","859831189737185","Our Youth Connect Case Managers provide street outreach engagement services to 18-to-24 year olds who are runaways, homeless, or at-risk. The program functions as a mobile drop-in center. Our specialists canvas areas in across the District of Columbia looking for young adults aged 17-24 in need of help. Specialists conduct on the spot housing assessments, and help youth get the vital documents (Social Security cards, ID cards, and other items) needed to access a host of services ranging from Food Stamps and Medicaid to substance abuse treatment programs to housing. They can also conduct on-the spot-housing assessments and accompany the young person to various aid agencies to help them navigate the region’s public services system. If help is declined, Friendship Place Youth Specialists can help ensure an individual’s comfort and safety by offering a survival kit with bottled water, blankets, safe-sex kits, hygiene products, SmarTrip cards, and information about hypothermia or hyperthermia shelters during periods of extreme temperatures. Impact","1260258325512587","https://friendshipplace.org/programs-outreach/youth-young-adults/","","1","none","1305774265925553,629380122005095,778256962802905,1054161113243743","Call us at 202.364.1419 or email us at info@friendshipplace.org. You can also visit us at our Welcome Center (4713 Wisconsin Ave NW, Washington, DC 20016).","","","","","<a href=""tel:(202) 658-9599"">(202) 658-9599</a>","1155445837483426,1161146557284538,769449908411381,1061969708258974","","","1214088150223601","","","","","","","","","","","","","","","",""
"1117364513670581","Employment Services","","744035004462843","Efforts From Ex-Convicts’ provide Employment and Referral Services for the benefit of ex-offenders. Mr Tinnen specializes in providing one-on-one support and guidance in helping you prepare for or find the job you seek and providing recommendations for any training or counseling needs.","1096962324914778","http://www.efecachieves.org/programs/employment-services/","","1","none","832122112723102,1088641745882951","Walk in or call for application.","","","","","<a href=""tel:(202) 733-2741"">(202) 733-2741</a>","1094559397539025","","","927832223723960","","","","","","","","","","","","","","","",""
"1118257508626334","Sibley Senior Association","","1115745782915962","If you are 50 years or older, Sibley Memorial Hospital invites you to become a member of The Sibley Senior Association to help you maintain your good health and grant you access to many benefits within Sibley Hospital. Membership includes quarterly newsletters, retail discounts, classes, free blood pressure checks, health screenings, classes and support groups.","1021458214239224","https://www.hopkinsmedicine.org/about/community_health/sibley-memorial-hospital/senior-wellness/index.html","","","none","1212005456553071,533832483389123","As a result of an overabundance of caution due to COVID-19, our office will be closed until further notice. We are working remotely. We will be mailing new membership cards on a regular basis. Please call our office number 202-364-7602. We will explain the logistics. If you need resources for coping with COVID-19, please let us know. We will be happy to provide additional information. Take Care. Be Safe.","","","","","<a href=""tel:(202) 364-7602"">(202) 364-7602</a>","1338861885603311,1338861885603312,1338861885603313,1338861885603314,1338861885603315,1338861885603316,1338861885603317,1338861885603318","","","606691178479516","","","","","","","","","","","","","","","",""
"1118129820102814","Training Programs","","1316999943437051","Offers job and professional training programs including: - Home Health Aide - Customer Service Training - A+ Computer Repair - Business Office Support Specialist with Microsoft Office Certification (BOSS/MOS) - Entrepreneurial Training Program - Family to Family - Work Readiness National Certification","1275795457873123","https://www.oicdc.org/training-programs.html","","1","none","832122112723102","Info Sessions for all training programs are held at our Training Center located at 3016 Martin Luther King Jr., Ave, SE. at 9:45 AM every Monday and on the following Tuesday when there is a holiday on Monday.","","","","","<a href=""tel:(202) 373-0336"">(202) 373-0336</a>","1300436814201650,1174098161618807","","","1135876728178306","","","","","","","","","","","","","","","",""
"1123918323906170","Catholic Community Services Southeast Family Center","","738572047054521","We are a multi-service center offering family support, foster care, independent living, substance abuse services, parent education, and financial assistance. We serve ward 8 residents and children who are wards of the District of Columbia.","1295303526129555","http://www.catholiccharitiesdc.org/sefc","","","none","","","","","","","","","","","779204777927363","","","","","","","","","","","","","","","",""
"1125858260716274","Domestic Violence - Neighborhood Legal Services Program (NLSP)","","917755116346392","For victims of domestic violence: NLSP can help obtain a Civil Protection Order (CPO). This will prohibit your abuser from harassing you. NOTE: NLSP assists victims of domestic violence or trafficking without regard to immigration status. We will not consider the income of the abuser when determining eligibility for services. Do you need help now? When you are ready to get legal help, call 202-832-NLSP during our intake hours. If you need assistance outside of NLSP’s business hours, you can use the following resources: Your first priority is your immediate safety. If you are in immediate danger, call 911. House of Ruth provides a 24-hour shelter/safe place for battered women and their children with support groups and other resources for recovery. However, their intake hours are limited, so please contact them by phone at 202-667-7001 ext. 320. The administrative office of House of Ruth is located at 5 Thomas Circle, NW, Washington, DC 20005. If you want to talk to someone about what you're going through, My Sister’s Place offers a confidential 24-Hour hotline: (202) 529-5991.","819741028296646,826158382123021,759833313909140","http://www.nlsp.org/services/domestic-violence","","1","none","841905613386238,1323975618617949,1238748896910244,608267763327487,625144853335827","Call or walk in during intake hours for an intake. Income eligibility guidelines (http://www.nlsp.org/eligibility) may be flexible on a case by case basis.","","","","","<a href=""tel:(202) 832-6577"">(202) 832-6577</a>","840625194332248,578413778188343,949146033103041","","","658580381720705,1020202703802817,919731849360133","","","","","","","","","","","","","","","",""
"1124712566709259","Adult Trauma Services","","785453766981777","Inpatient - Day Program Partial Hospitalization - Intensive Outpatient Specialty care for post-traumatic stress disorder includes rapid stabilization and skilled intervention. Our innovative treatment model focuses on training individuals in self-management skills using stage-oriented, cognitive and behavioral strategies. Our treatments for PTSD also includes problem-solving techniques with special focus on identifying skills patients can use during treatment and after discharge. The Day Center offers two levels of intensity: Partial Hospitalization — four or five days of treatment each week dedicated to helping prevent inpatient admission or to shorten an acute inpatient stay Intensive Outpatient — a two to three-day a week program designed to help patients struggling with chronic or intermittent work and social dysfunction Individualized treatment plans are developed to: Encourage maximum levels of functioning Expedite the transition to less intensive levels of treatment Offer flexible scheduling to accommodate a transition to work Available Treatment Groups Goal setting focuses on identifying issues patients face and establishes a framework for clinical care Group Psychotherapy addresses personal safety and effective expression and management of feelings and to learn and practice interpersonal skills Psych-Education/Life Skills dedicated to trauma recovery, coping skills, emotional regulation and problem-solving Expressive Therapy identifies safe, contained expression and management of emotions using art therapy and writing","908423552645976","https://psychinstitute.com/treatment-services/adults/adult-trauma-services/","","1","none","1276982655382389,874406320909098","It’s easy to get the help you or a loved one needs. Our Clinical Assessment Center is available 24 hours a day, 7 days a week. Physicians, therapists, school personnel and other community and private agencies and organizations may request professional consultations for any individual whose behavior raises concern. Self-referrals are accepted, as well as referrals from family and community members for our inpatient substance abuse treatment or mental health care programs. If you have questions about admissions, about the Clinical Assessment Center, our mental health counseling programs, please see our Frequently Asked Questions, or visit our Contact page to get in touch with us directly. PIW provides no-cost psychiatric evaluation and self assessment screening tools for depression and substance abuse.","","","","","<a href=""tel:1 (800) 369-2273"">1 (800) 369-2273</a>","847652684340999","","","1160436895350697","","","","","","","","","","","","","","","",""
"1134632582399004","Outreach Team","","794184973835515","MK’s Street Outreach Team seeks out and supports the most vulnerable and hard-to-reach people experiencing homelessness. Our focus is to work with clients in the following neighborhoods: Foggy Bottom, Georgetown, near the State Department and the National Mall. Our team will locate these clients and help them move into permanent housing, while connecting them to mental and physical health services, social security benefits and employment.","1269099704638669","https://miriamskitchen.org/outreach-team/","lindsay.curtin@miriamskitchen.org","1","none","893915418546777","This is an outreach program. If you have any questions, please contact Outreach Director, Lindsay Curtin at lindsay.curtin@miriamskitchen.org","","","","","<a href=""tel:(202) 835-8376"">(202) 835-8376</a>","","958552190775261","","1221128761880442","","","","","","","","","","","","","","","",""
"1138527811978367","Care Management","","1275858156254689","Families face new challenges as family members age. Life doesn’t come with an event planner, so Seabury care managers are there for when you and your family need help. Seabury care managers guide older adults and their families through the process of planning for long-term needs. Seabury’s Care Management team is dedicated to improving the quality of life as well as maintaining independence for their clients. Care Management provides counsel to families on key issues that could include elder law attorneys, home care providers, senior living communities, physicians, rehabilitation centers, mental health providers, financial planners, and others to promote a positive aging experience.","1281917418518969","https://www.seaburyresources.org/caremanagement","info@seaburyresources.org","1","none","893915418546777,819562758416858","Call to apply for services.","","","","","<a href=""tel:(202) 364-0020"">(202) 364-0020</a>","593652380535594","","","1215798438097456","","","","","","","","","","","","","","","",""
"1138627636801968","Advocacy and Referrals","Labor of Love Human Service Center","1321593994370513","We partner with other agencies to refer clients who may be best served by another organization. We advocate on behalf of clients who may not be able to effectively state their case for additional support or services. We also assist persons with applying for SNAP (food stamp) benefits. Please click here for a resource list for Maryland and the District of Columbia.","1195204292292590","https://www.communityoutreachcdc.org/labor-of-love","","1","none","841905613386238,893915418546777","Call or walk in.","","","","","<a href=""tel:(301) 735-0121"">(301) 735-0121</a>","1121761396617945","","","648313004102131","","","","","","","","","","","","","","","",""
"1077886511267517","Food Pantry - Sixth Presbyterian Church","","865637769620382","A food pantry to those in need.","623817892479347","","","1","none","630013980013392","Offered the second and fourth Wednesday of the month at 12:00pm. Service is provided until food runs out as this is on a first come first served basis. Please bring bags and/or a cart to cary your food.","","","","","<a href=""tel:(202) 723-5377"">(202) 723-5377</a>","","","","1147888602738885","","","","","","","","","","","","","","","",""
"1086669106439677","Pregnancy Care and Groups","","1203024767725850","We want all of our moms and babies to have the best outcome possible – so starting in the 6th month of pregnancy (around 26 weeks), pregnant moms join the CenteringPregnancy® group. Our moms benefit from: Interactive learning and fun discussion in a relaxed setting with other moms due at the same time as you Education about labor, breastfeeding and basic newborn care Games, food and chances to win prizes or receive gifts for your baby Continue to have one-on-one checkups with the midwife during group Plus, there is no wait time for your appointment!","898004780647297,1279229683648851","https://www.communityofhopedc.org/healthcare/wellness-programs","","1","none","1276982655382389,893915418546777,1138294006521405","Centering is currently offered at two of our locations: the Conway Health and Resource Center and the Family Health and Birth Center. Want to learn more about how to join our CenteringPregnancy Group? Call the health center nearest to you for more information.","","","","","<a href=""tel:(202) 407-7747"">(202) 407-7747</a>","1256040996018645,614249715580782","","","1230176419964750,980577201887269","","","","","","","","","","","","","","","",""
